store_name,create_time,phone_number,address,total_score,business_hour,url,is_appointed_store,is_unknown_store
蚵仔麵線佳鑫檸檬,2022-08-31 02:37:18,0223052100,臺北市中正區泉州街32之2號,4.5,"3:11001900,4:11001900,5:11001900,6:11001900,7:11001900,1:12001820,2:11001900",https://ifoodie.tw/restaurant/559d6bdfc03a103ee86c7455-%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A%E4%BD%B3%E9%91%AB%E6%AA%B8%E6%AA%AC,0,0
瓦崎燒烤火鍋 公館店,2022-08-31 02:37:28,0223690696,臺北市中正區羅斯福路四段24巷5號,4.1,"3:11302300,4:11302300,5:11302300,6:11302300,7:11302300,1:11302300,2:11302300",https://ifoodie.tw/restaurant/559d04e1c03a103ee86c3419-%E7%93%A6%E5%B4%8E%E7%87%92%E7%83%A4%E7%81%AB%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
太陽蕃茄拉麵,2022-08-31 02:37:35,0223617188,臺北市中正區忠孝西路一段38號B1樓,4.3,"3:11002200,4:11002200,5:11002230,6:11002230,7:11002200,1:11002200,2:11002200",https://ifoodie.tw/restaurant/559d3c6fc03a103ee86c54d1-%E5%A4%AA%E9%99%BD%E8%95%83%E8%8C%84%E6%8B%89%E9%BA%B5,0,0
青島排骨便當,2022-08-31 02:37:46,0223577649,臺北市中正區青島東路3號之3,4.0,"3:11001430,3:17002030,4:11001430,4:17002030,5:11001430,5:17002030,6:11001400,1:11001430,1:17002030,2:11001430,2:17002030",https://ifoodie.tw/restaurant/5676ee7f2756dd3d5552acd3-%E9%9D%92%E5%B3%B6%E6%8E%92%E9%AA%A8%E4%BE%BF%E7%95%B6,0,0
豬肝榮仔 南機場直營店,2022-08-31 02:37:51,0955386183,臺北市中正區中華路二段313巷10號,4.5,"3:17002300,4:17002300,5:17002300,6:17002300,7:17002300,1:17002300,2:17002300",https://ifoodie.tw/restaurant/630ac8df7cc7fc419f8c7ce6-%E8%B1%AC%E8%82%9D%E6%A6%AE%E4%BB%94-%E5%8D%97%E6%A9%9F%E5%A0%B4%E7%9B%B4%E7%87%9F%E5%BA%97,0,0
青鳥Bleu&Book,2022-08-31 02:38:02,0223418865,台北市八德路一段1號,4.5,"3:10002100,4:10002100,5:10002100,6:10002100,7:10002100,1:10002100,2:10002100",https://ifoodie.tw/restaurant/57fe7acd2756dd3badddb26c-%E9%9D%92%E9%B3%A5Bleu%26Book,0,0
豆味行,2022-08-31 02:38:07,0223518939,臺北市中正區南昌路一段64號,3.9,"3:11152100,4:11152100,5:11152100,6:11152100,1:11152100,2:11152100",https://ifoodie.tw/restaurant/559d0bc5c03a103ee86c374d-%E8%B1%86%E5%91%B3%E8%A1%8C,0,0
台北凱撒大飯店,2022-08-31 02:38:20,0223115151,臺北市中正區忠孝西路一段38號,3.9,,https://ifoodie.tw/restaurant/62948203781cc0417ab3ed8b-%E5%8F%B0%E5%8C%97%E5%87%B1%E6%92%92%E5%A4%A7%E9%A3%AF%E5%BA%97,0,0
B-Line By A Train,2022-08-31 02:38:26,0223560010,台北市中正區忠孝東路二段104號2樓,4.6,"3:00000130,3:11001700,3:18000000,4:00000130,4:11001700,4:18000000,5:00000130,5:11001700,5:18000000,6:00000230,6:11001700,6:18000000,7:11001700,7:18000000,7:00000230,1:00000130,1:18000000,2:00000130,2:11001700,2:18000000",https://ifoodie.tw/restaurant/559dc5a7c03a103ee86ca8a6-B-Line-By-A-Train,0,0
松青潤餅,2022-08-31 02:38:32,0930406677,臺北市中正區中華路二段311巷4號,4.4,"3:15302100,4:15302100,5:15302100,6:15302100,7:15302100,2:15302100",https://ifoodie.tw/restaurant/5a3560a52756dd53a25ae748-%E6%9D%BE%E9%9D%92%E6%BD%A4%E9%A4%85,0,0
