id,餐廳名稱, 餐廳評價,餐廳地址,餐廳連結
1,佳園排骨麵,4.2,臺北市中正區林森南路59之2號,https://ifoodie.tw/restaurant/55a66bd9c03a104df53ca171-%E4%BD%B3%E5%9C%92%E6%8E%92%E9%AA%A8%E9%BA%B5
2,無名鹹粥,4.0,臺北市中正區汀州路一段90號,https://ifoodie.tw/restaurant/559da0f7c03a103ee86c9281-%E7%84%A1%E5%90%8D%E9%B9%B9%E7%B2%A5
3,恆記港式燒臘,3.6,臺北市中正區開封街一段29號,https://ifoodie.tw/restaurant/6273d0ba7cc7fc43a84e4b9b-%E6%81%86%E8%A8%98%E6%B8%AF%E5%BC%8F%E7%87%92%E8%87%98
4,勝十蘭拉麵,3.7,中正區南陽街13-2號,https://ifoodie.tw/restaurant/60589dc0cd9957389b207fbd-%E5%8B%9D%E5%8D%81%E8%98%AD%E6%8B%89%E9%BA%B5
5,桔子早午餐,4.8,臺北市中正區青島東路21之8號,https://ifoodie.tw/restaurant/62a0a39e7cc7fc0abdb492ad-%E6%A1%94%E5%AD%90%E6%97%A9%E5%8D%88%E9%A4%90
6,肉多多火鍋 台北重慶南店,4.6,臺北市中正區重慶南路一段58號3樓,https://ifoodie.tw/restaurant/5cd23c0e23679c4fd3429cee-%E8%82%89%E5%A4%9A%E5%A4%9A%E7%81%AB%E9%8D%8B-%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6%E5%8D%97%E5%BA%97
7,阿春涼麵,4.3,臺北市中正區中華路二段401號,https://ifoodie.tw/restaurant/592b11232756dd474fdd59af-%E9%98%BF%E6%98%A5%E6%B6%BC%E9%BA%B5
8,台北凱撒大飯店,4.0,臺北市中正區忠孝西路一段38號,https://ifoodie.tw/restaurant/62948203781cc0417ab3ed8b-%E5%8F%B0%E5%8C%97%E5%87%B1%E6%92%92%E5%A4%A7%E9%A3%AF%E5%BA%97
9,太陽蕃茄拉麵,4.3,臺北市中正區忠孝西路一段38號B1樓,https://ifoodie.tw/restaurant/559d3c6fc03a103ee86c54d1-%E5%A4%AA%E9%99%BD%E8%95%83%E8%8C%84%E6%8B%89%E9%BA%B5
10,bonniesugar手作甜點店 森林店,3.8,臺北市中正區北平東路9號,https://ifoodie.tw/restaurant/5800c6902756dd3e1e8aaa1f-bonniesugar%E6%89%8B%E4%BD%9C%E7%94%9C%E9%BB%9E%E5%BA%97-%E6%A3%AE%E6%9E%97%E5%BA%97
11,IceHolic 冰癮,4.6,臺北市中正區羅斯福路三段244巷13號,https://ifoodie.tw/restaurant/5c408fcd2756dd342350f833-IceHolic-%E5%86%B0%E7%99%AE
12,忠青商行,4.3,臺北市中正區青島東路6之1號青島會館二館,https://ifoodie.tw/restaurant/5e844e4a2261392093b21823-%E5%BF%A0%E9%9D%92%E5%95%86%E8%A1%8C
13,雙月食品社 青島店,4.5,臺北市中正區青島東路6之2號,https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97
14,niko bakery 日香高級吐司專門店 華山店,4.4,臺北市中正區忠孝東路二段23號1樓,https://ifoodie.tw/restaurant/61931165cd995766069452d4-niko-bakery-%E6%97%A5%E9%A6%99%E9%AB%98%E7%B4%9A%E5%90%90%E5%8F%B8%E5%B0%88%E9%96%80
15,A Small Place,4.8,臺北市中正區牯嶺街95巷51號,https://ifoodie.tw/restaurant/629c719cbaf6d3204a677d04-A-Small-Place
16,悄悄好食 杭州南店,4.2,臺北市中正區杭州南路一段11巷4號,https://ifoodie.tw/restaurant/5a0b2fde2756dd577bc73c53-%E6%82%84%E6%82%84%E5%A5%BD%E9%A3%9F-%E6%9D%AD%E5%B7%9E%E5%8D%97%E5%BA%97
17,巧之味手工水餃,4.5,臺北市中正區濟南路二段6號,https://ifoodie.tw/restaurant/559d1509c03a103ee86c3b87-%E5%B7%A7%E4%B9%8B%E5%91%B3%E6%89%8B%E5%B7%A5%E6%B0%B4%E9%A4%83
18,劉記川味牛肉麵,4.1,臺北市中正區羅斯福路三段316巷8弄6號,https://ifoodie.tw/restaurant/616b0945cd9957644f72f325-%E5%8A%89%E8%A8%98%E5%B7%9D%E5%91%B3%E7%89%9B%E8%82%89%E9%BA%B5
19,Half coffee,4.8,臺北市中正區羅斯福路三段286巷4弄4號1樓,https://ifoodie.tw/restaurant/5e684faf22613924ff3eb9e7-Half-coffee
20,阜杭豆漿,3.9,臺北市中正區忠孝東路一段108號2樓,https://ifoodie.tw/restaurant/559dbd8ec03a103ee86ca34f-%E9%98%9C%E6%9D%AD%E8%B1%86%E6%BC%BF
21,三統漢菓子 微風北車店,5.0,臺北市中正區北平西路3號臺北車站1樓微風廣場一樓近南二門,https://ifoodie.tw/restaurant/62986243873d79108828339f-%E4%B8%89%E7%B5%B1%E6%BC%A2%E8%8F%93%E5%AD%90-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97
22,鄭記豬腳飯,4.2,臺北市中正區延平南路22號,https://ifoodie.tw/restaurant/559dae25c03a103ee86c9a27-%E9%84%AD%E8%A8%98%E8%B1%AC%E8%85%B3%E9%A3%AF
23,灌老闆,4.9,臺北市中正區紹興北街25號,https://ifoodie.tw/restaurant/61d8dff47cc7fc4a356d0012-%E7%81%8C%E8%80%81%E9%97%86
24,大黑松小倆口牛軋糖喜餅 博愛總店,4.5,臺北市中正區博愛路99號,https://ifoodie.tw/restaurant/603e47a2baf6d30aaf6da195-%E5%A4%A7%E9%BB%91%E6%9D%BE%E5%B0%8F%E5%80%86%E5%8F%A3%E7%89%9B%E8%BB%8B%E7%B3%96%E5%96%9C%E9%A4%85-%E5%8D%9A%E6%84%9B%E7%B8%BD%E5%BA%97
25,上村牧場 微風北車店,3.8,臺北市中正區北平西路3號2樓,https://ifoodie.tw/restaurant/5fb26cce8c906d7b09b87ba4-%E4%B8%8A%E6%9D%91%E7%89%A7%E5%A0%B4-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97
26,寧波生煎包,4.1,臺北市中正區羅斯福路一段59號,https://ifoodie.tw/restaurant/559db48cc03a103ee86c9dad-%E5%AF%A7%E6%B3%A2%E7%94%9F%E7%85%8E%E5%8C%85
27,蛋要酷 手工蛋餅專賣店,4.2,臺北市中正區信陽街26之4號,https://ifoodie.tw/restaurant/56f57e722756dd377d8608ae-%E8%9B%8B%E8%A6%81%E9%85%B7-%E6%89%8B%E5%B7%A5%E8%9B%8B%E9%A4%85%E5%B0%88%E8%B3%A3%E5%BA%97
28,達文西咖啡davincicoffee 溫州店,4.6,臺北市大安區溫州街58巷2號1F,https://ifoodie.tw/restaurant/58e683532756dd7a7c2b3dce-%E9%81%94%E6%96%87%E8%A5%BF%E5%92%96%E5%95%A1davincicoffee-%E6%BA%AB
29,水牛城美式炭烤牛排,4.4,臺北市中正區杭州南路二段94號,https://ifoodie.tw/restaurant/559d90dac03a103ee86c8a81-%E6%B0%B4%E7%89%9B%E5%9F%8E%E7%BE%8E%E5%BC%8F%E7%82%AD%E7%83%A4%E7%89%9B%E6%8E%92
30,欣葉日本料理自助餐聽,4.4,臺北市中正區館前路12號6樓,https://ifoodie.tw/restaurant/559de1b6c03a103ee86cb9d5-%E6%AC%A3%E8%91%89%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86%E8%87%AA%E5%8A%A9%E9%A4%90%E8%81%BD
31,雪王冰淇淋,4.4,臺北市中正區武昌街一段65號2樓,https://ifoodie.tw/restaurant/559dac4fc03a103ee86c9908-%E9%9B%AA%E7%8E%8B%E5%86%B0%E6%B7%87%E6%B7%8B
32,明星咖啡館,4.1,臺北市中正區武昌街一段5號2樓,https://ifoodie.tw/restaurant/559d3e78c03a103ee86c5667-%E6%98%8E%E6%98%9F%E5%92%96%E5%95%A1%E9%A4%A8
33,大戶屋 遠百寶慶店,4.0,臺北市中正區寶慶路32號B1,https://ifoodie.tw/restaurant/559d3357c03a103ee86c4f65-%E5%A4%A7%E6%88%B6%E5%B1%8B-%E9%81%A0%E7%99%BE%E5%AF%B6%E6%85%B6%E5%BA%97
34,秋嗨嗨冰店,4.9,臺北市中正區羅斯福路二段30巷11號,https://ifoodie.tw/restaurant/6121c756cd995770d0075e93-%E7%A7%8B%E5%97%A8%E5%97%A8%E5%86%B0%E5%BA%97
35,Simple Kaffa 興波咖啡旗艦店,4.2,臺北市中正區忠孝東路二段27號,https://ifoodie.tw/restaurant/5ca3145223679c626fa63ead-Simple-Kaffa-%E8%88%88%E6%B3%A2%E5%92%96%E5%95%A1%E6%97%97%E8%89%A6%E5%BA%97
36,城中市場老牌牛肉拉麵大王,4.2,臺北市中正區重慶南路一段46巷7號,https://ifoodie.tw/restaurant/55a5ff2ac03a102ec1415d9e-%E5%9F%8E%E4%B8%AD%E5%B8%82%E5%A0%B4%E8%80%81%E7%89%8C%E7%89%9B%E8%82%89%E6%8B%89%E9%BA%B5%E5%A4%A7%E7%8E%8B
37,雹仔豆花 鹽滷豆花,4.5,臺北市中正區臨沂街27巷9之4號,https://ifoodie.tw/restaurant/61504260cd9957072b538363-%E9%9B%B9%E4%BB%94%E8%B1%86%E8%8A%B1-%E9%B9%BD%E6%BB%B7%E8%B1%86%E8%8A%B1
38,豆味行,3.9,臺北市中正區南昌路一段64號,https://ifoodie.tw/restaurant/559d0bc5c03a103ee86c374d-%E8%B1%86%E5%91%B3%E8%A1%8C
39,BAC Cake & Sweets,4.1,臺北市中正區忠孝西路一段38號,https://ifoodie.tw/restaurant/559d3c83c03a103ee86c5505-BAC-Cake-%26-Sweets
40,鷹流拉麵極匠,4.1,臺北市中正區汀州路三段104巷4號,https://ifoodie.tw/restaurant/55b927ab40b5e303a1d5634f-%E9%B7%B9%E6%B5%81%E6%8B%89%E9%BA%B5%E6%A5%B5%E5%8C%A0
41,溫咖哩 Wen Curry,4.8,臺北市中正區濟南路二段3號之八,https://ifoodie.tw/restaurant/6134a970a6272805a3865da9-%E6%BA%AB%E5%92%96%E5%93%A9-Wen-Curry
42,YumYum 好吃好吃2號店,3.7,臺北市中正區羅斯福路三段316巷16號2樓,https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97
