title,username,date,star,reviews
興鐵板燒,Chelsea Lin銀級會員(30則評論),2022/07/21,5.0,餐點好吃，採包廂式，服務好，環境乾淨
興鐵板燒,斑比Banbi愛食記部落客(1574篇食記),2021/01/20,999,中山區|台北華國大飯店興鐵板燒阿興師不設限的狂派海鮮精緻鐵板料理
興鐵板燒,米兒情事愛食記部落客(699篇食記),2021/01/14,999,興鐵板燒。捷運中山國小站-入口爆漿的鐵板燒牛排，阿興師的自慢手藝，吃得出的料好實在
興鐵板燒,愛吃鬼芸芸愛食記部落客(3330篇食記),2021/01/10,999,興鐵板燒@台北華國大飯店，阿興師的台式精緻鐵板料理(還附KTV！)
柳州螺螄粉,趁早出門吃飽飽愛食記部落客(66篇食記),2022/07/19,3.5,柳州螺螄粉，好吃的滷大腸與龜苓膏，中正紀念堂美餐廳
uPoke 夏威夷生魚飯 水源門市,女子的休假計劃愛食記部落客(869篇食記),2022/07/19,5.0,台北：內用蕎麥麵、藜麥飯吃到飽，黑豆茶喝到飽
uPoke 夏威夷生魚飯 水源門市,林欣晴愛食記部落客(91篇食記),2022/07/05,4.5,uPoke夏威夷生魚飯｜台北公館美推薦。客製化健康餐內用蕎麥麵、蕎麥飯吃到飽！(菜單menu價錢)
uPoke 夏威夷生魚飯 水源門市,郭嵐菁(1則評論),2022/04/24,4.5,這間是我很喜歡吃的一間店 我還介紹同事去吃 、喜歡是喜歡 但是 店員素質不夠好 …. 今天去買的很不舒服 因為莎拉醬汁 我跟小姐反應 她說 ：我們的量是固定的 我又跟他說 我說我常來但是今天的真的有點少 …她就回要不你可以再➕一份莎拉 醬 20元  我本來想說 算了 就這樣吧 但是走到一半 又覺得 味道不夠怎麼吃呀….於是我就又回頭回去跟他反應然後再請他幫我加沙拉我補$20這一次幫我加了很多…我就又有反應了你加這麼多我怎麼吃你剛剛已經加了我是因為覺得不夠才回來但是你要給我加那麼多 味道不是太重了嗎…小姐回我說：我們的量都是算好的  ….. 各位客倌們菜煮太淡 可以再調一下味道但是可以Double量調味嗎？ 你說我那盒飯吃的開心嗎…….
uPoke 夏威夷生魚飯 水源門市,布雷克的世界愛食記部落客(706篇食記),2022/03/14,999,uPoke 夏威夷生魚飯｜比健康便當還好吃的夏威夷生魚飯內用竟然還有蕎麥麵與藜麥飯吃到飽
uPoke 夏威夷生魚飯 水源門市,小可愛阿貴愛食記部落客(1755篇食記),2022/03/14,999,uPoke夏威夷生魚飯水源門市，台北Poke推薦
uPoke 夏威夷生魚飯 水源門市,翹臀吃四方愛食記部落客(98篇食記),2022/03/12,5.0,uPoke 夏威夷生魚飯，台大公館美推薦
uPoke 夏威夷生魚飯 水源門市,周花花，甲飽沒愛食記部落客(2178篇食記),2022/03/06,999,uPoke夏威夷生魚飯水源門市蕎麥麵藜麥飯吃到飽！想吃什麼自由組搭
uPoke 夏威夷生魚飯 水源門市,Stancy Tsai愛食記部落客(407篇食記),2022/03/06,999,公館美推薦｜uPoke 夏威夷生魚飯｜偏者有福想吃什麼自己選，百元客製化精品沙拉
uPoke 夏威夷生魚飯 水源門市,水晶安蹄愛食記部落客(2114篇食記),2022/03/05,999,【台北】公館美｜uPoke 夏威夷生魚飯水源店，鮪蝦迷卵雞添，健康美味超有梗夏威夷拌飯推薦
MKCR 山小孩咖啡,Jennies自在生活愛食記部落客(1039篇食記),2022/07/19,999,蘊藏百年風情｜Mountain Kids Coffee Roaster 山小孩咖啡 在古蹟裡穿遊品嚐一杯好咖啡
MKCR 山小孩咖啡,廢物皮的美食日記愛食記部落客(357篇食記),2022/07/11,999,台北早午餐選擇|【雪球咖啡】首推厚蛋吐司 鍋煮奶茶 2022菜單
MKCR 山小孩咖啡,Sean Cheng紫級會員(303則評論),2019/07/18,4.0,以咖啡店或甜點店來說，不算特別出色，的卡布溫度略低了一點，味道清淡不算突出。甜點稍小要$60，中規中矩。可以從二樓窗外望向北門，算是景觀餐廳(?)
MKCR 山小孩咖啡,Angela🌵金級會員(69則評論),2019/04/13,4.5,焦糖蘋果生乳酪$50這款蛋糕非常好吃，生乳酪內夾著蜜蘋果內餡，酸甜搭配乳酪濃郁的風味非常絕配～
MKCR 山小孩咖啡,美食猛男阿一一愛食記部落客(938篇食記),2021/02/26,999,台北車站咖啡廳山小孩咖啡甜點下午茶～台北北門景觀第一排
MKCR 山小孩咖啡,古露露愛食記部落客(542篇食記),2020/12/18,999, 純白咖啡館的北門風光｜MKCR 山小孩咖啡
MKCR 山小孩咖啡,Tom Deng愛食記部落客(31篇食記),2020/11/07,4.0,Mountainkidscoffeerosters/MCKR山小孩咖啡-望見北門的咖啡廳
MKCR 山小孩咖啡,喜喜愛食記部落客(72篇食記),2020/10/18,5.0,MKCR/MountainKidsCoffeeRoaster山小孩咖啡北門自烘咖啡
MKCR 山小孩咖啡,國王沒有驢耳朵愛食記部落客(667篇食記),2020/09/06,999,台北•北門MKCR / Mountain Kids Coffee Roaster 山小孩咖啡
MKCR 山小孩咖啡,大食女愛食記部落客(1341篇食記),2020/09/02,999,MKCR山小孩咖啡-六張犁新幕！二店一樣美慘！(附MKCRMENU)台北咖啡廳/台北下午茶
MKCR 山小孩咖啡,Alina 愛琳娜愛食記部落客(651篇食記),2020/08/13,999,【台北咖啡廳】北門MKCR｜山小孩咖啡用文青回味古蹟
MKCR 山小孩咖啡,金大佛愛食記部落客(265篇食記),2020/06/05,999,MKCR山小孩咖啡︳直擊北門古蹟的純白色台北咖啡廳，近台北車站
MKCR 山小孩咖啡,人生的深度我決定愛食記部落客(1187篇食記),2020/05/16,999,台北 北門站周邊 - MKCR / Mountain Kids Coffee Roaster 山小孩咖啡 [自家烘焙咖啡。甜點]
MKCR 山小孩咖啡,張菀庭(1則評論),2020/03/28,999,台北韓系咖啡廳特輯》MKCR山小孩咖啡/二樓窗景品嚐古今交織的北門古蹟美景/IG熱門打卡景點/近北門捷運站/台北車站
MKCR 山小孩咖啡,食癮，拾影愛食記部落客(726篇食記),2020/03/20,999,臺北城市美學ｘ漫步珈琲：明星咖啡館、MKCR、丸花豆倉、窺視珈琲、Cafetailuu
MKCR 山小孩咖啡,老K愛食記部落客(1479篇食記),2020/02/11,999,觀光客也很愛的咖啡廳北門美景就在眼前呀-MKCR山小孩咖啡@北門站@忠孝西路
MKCR 山小孩咖啡,淺藍愛食記部落客(1516篇食記),2020/01/28,999, MKCR山小孩～季節限定，配色美麗的草莓抹茶起司蛋糕
MKCR 山小孩咖啡,浿淇朵:)愛食記部落客(79篇食記),2019/10/05,4.5,山小孩精品咖啡。與台北府城北門對望，喧嚷城市中品味歷史與咖啡甜點的不限時咖啡館。
