title,date,tel,address,star,link
有飲 Youin 創意飲品 台北公館店,2022-08-18 01:28:07,0223680899,臺北市中正區汀州路三段221號,4.1,https://ifoodie.tw/restaurant/6226c828a62728640af345d4-%E6%9C%89%E9%A3%B2-Youin-%E5%89%B5%E6%84%8F%E9%A3%B2%E5%93%81-%E5%8F%B0%E5%8C%97%E5%85%AC%E9%A4%A8%E5%BA%97
城中市場老牌牛肉拉麵大王,2022-08-18 01:28:12,0223815604,臺北市中正區重慶南路一段46巷7號,4.2,https://ifoodie.tw/restaurant/55a5ff2ac03a102ec1415d9e-%E5%9F%8E%E4%B8%AD%E5%B8%82%E5%A0%B4%E8%80%81%E7%89%8C%E7%89%9B%E8%82%89%E6%8B%89%E9%BA%B5%E5%A4%A7%E7%8E%8B
金家飯捲 KOREA GIMBAP 김가김밥,2022-08-18 01:28:16,0938808065,臺北市中正區金門街2之3號,4.6,https://ifoodie.tw/restaurant/62fb9b707cc7fc67f86391de-%E9%87%91%E5%AE%B6%E9%A3%AF%E6%8D%B2-KOREA-GIMBAP-%EA%B9%80%EA%B0%80
上海鄉村餐廳 濟南店,2022-08-18 01:28:20,0223223333,臺北市中正區濟南路二段37號,4.3,https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97
何家甜品鋪-剉冰雪花冰(公館汀州),2022-08-18 01:28:25,0902115871,臺北市中正區汀州路三段124號1樓,4.4,https://ifoodie.tw/restaurant/62abfa1f873d792aed2f2657-%E4%BD%95%E5%AE%B6%E7%94%9C%E5%93%81%E9%8B%AA-%E5%89%89%E5%86%B0%E9%9B%AA%E8%8A%B1%E5%86%B0(%E5%85%AC%E9%A4%A8%E6%B1%80%E5%B7%9E)
辛殿麻辣鍋 公館店,2022-08-18 01:28:28,0277337667,臺北市中正區羅斯福路三段316巷9弄1號,4.4,https://ifoodie.tw/restaurant/5f90fe0902935e35cd626b65-%E8%BE%9B%E6%AE%BF%E9%BA%BB%E8%BE%A3%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97
明星咖啡館,2022-08-18 01:28:31,0223815589,臺北市中正區武昌街一段5號2樓,4.1,https://ifoodie.tw/restaurant/559d3e78c03a103ee86c5667-%E6%98%8E%E6%98%9F%E5%92%96%E5%95%A1%E9%A4%A8
藍家割包,2022-08-18 01:28:35,0223682060,臺北市中正區羅斯福路三段316巷8弄3號,3.9,https://ifoodie.tw/restaurant/559d7bc3c03a103ee86c7e94-%E8%97%8D%E5%AE%B6%E5%89%B2%E5%8C%85
阿薄郎薄皮餃子台式小酒館-台北二郎公館店 Uncle A-Bo-Lang Taiwan Bistro,2022-08-18 01:28:38,0223675033,臺北市中正區汀州路三段96號,4.2,https://ifoodie.tw/restaurant/62fa4a267cc7fc20fa1be87d-%E9%98%BF%E8%96%84%E9%83%8E%E8%96%84%E7%9A%AE%E9%A4%83%E5%AD%90%E5%8F%B0%E5%BC%8F%E5%B0%8F%E9%85%92%E9%A4%A8-%E5%8F%B0%E5%8C%97%E4%BA%8C%E9%83%8E%E5%85%AC%E9%A4%A8%E5%BA%97
素食地瓜球,2022-08-18 01:28:46,0987074426,臺北市中正區羅斯福路四段108巷8之1號,4.1,https://ifoodie.tw/restaurant/5cb81675f524683336995f38-%E7%B4%A0%E9%A3%9F%E5%9C%B0%E7%93%9C%E7%90%83
雙月食品社 青島店,2022-08-18 01:28:51,0233938953,臺北市中正區青島東路6之2號,4.5,https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97
楽坡BonBox - 台北站前店 / 樂坡舒肥健康餐盒,2022-08-18 01:28:54,0965607276,臺北市中正區信陽街26之1號,4.3,https://ifoodie.tw/restaurant/62f89a9b873d794b7d0baa01-%E6%A5%BD%E5%9D%A1BonBox-%E5%8F%B0%E5%8C%97%E7%AB%99%E5%89%8D%E5%BA%97-%2F-%E6%A8%82%E5%9D%A1%E8%88%92
小木斑馬 Brunch & coffee,2022-08-18 01:28:57,0223564445, 1樓臺北市中正區羅斯福路二段66巷16號,4.5,https://ifoodie.tw/restaurant/62f80028cd995702534a61e8-%E5%B0%8F%E6%9C%A8%E6%96%91%E9%A6%AC-Brunch-%26-coffee
海享吃精緻鍋物,2022-08-18 01:28:59,0223331311,臺北市中正區中華路二段307巷8號,4.8,https://ifoodie.tw/restaurant/606e53a1cd995731e299e49f-%E6%B5%B7%E4%BA%AB%E5%90%83%E7%B2%BE%E7%B7%BB%E9%8D%8B%E7%89%A9
小螺波 XIAO LUO BO 公館店,2022-08-18 01:29:03,0223629219,臺北市中正區羅斯福路三段284巷11號一樓,4.4,https://ifoodie.tw/restaurant/616786f9a6272874909a1f19-%E5%B0%8F%E8%9E%BA%E6%B3%A2-XIAO-LUO-BO-%E5%85%AC%E9%A4%A8%E5%BA%97
黃家香腸,2022-08-18 01:29:06,0223097428,臺北市中正區泉州街32之3號,4.5,https://ifoodie.tw/restaurant/559d6be1c03a103ee86c7459-%E9%BB%83%E5%AE%B6%E9%A6%99%E8%85%B8
如意黑糖挫冰,2022-08-18 01:29:08,0223051199,臺北市中正區中華路二段313巷35號,3.9,https://ifoodie.tw/restaurant/62f6607f873d795e60427a28-%E5%A6%82%E6%84%8F%E9%BB%91%E7%B3%96%E6%8C%AB%E5%86%B0
Louisa Coffee 路易莎咖啡(忠孝善導寺門市),2022-08-18 01:29:12,0223956613,臺北市中正區忠孝東路一段148號,3.2,https://ifoodie.tw/restaurant/62f617f2baf6d37d4b85ef5e-Louisa-Coffee-%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1(
YumYum 好吃好吃2號店,2022-08-18 01:29:15,0223629538,臺北市中正區羅斯福路三段316巷16號2樓,3.9,https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97
魚君 さかなくん 海鮮公有市場,2022-08-18 01:29:18,0223958300,臺北市中正區金山南路一段35號,4.2,https://ifoodie.tw/restaurant/5ac908f32756dd7b4f128e6e-%E9%AD%9A%E5%90%9B-%E3%81%95%E3%81%8B%E3%81%AA%E3%81%8F%E3%82%93-%E6%B5%B7%E9%AE%AE%E5%85%AC%E6%9C%89%E5%B8%82%E5%A0%B4
Coppii Lumii living coffee 冉冉生活(城中),2022-08-18 01:29:21,0223818613,臺北市中正區永綏街7號,4.1,https://ifoodie.tw/restaurant/61933a7c873d790429c1f093-Coppii-Lumii-living-
