title,username,date,star,reviews
有飲 Youin 創意飲品 台北公館店,鯊魚大口咬愛食記部落客(142篇食記),2022/08/16,3.5,有飲創意飲品，欸 你這禮拜要幹嘛youtuber的飲料店好喝嗎？公館商圈飲料推薦@鯊魚大口咬
有飲 Youin 創意飲品 台北公館店,趁早出門吃飽飽愛食記部落客(72篇食記),2022/08/12,999,有飲 Youin 創意飲品，優格飲與氣泡飲，公館商圈飲料推薦
有飲 Youin 創意飲品 台北公館店,省錢王Jet吃喝玩樂趣愛食記部落客(1474篇食記),2022/03/08,5.0,有飲公館店～2022新幕排隊飲料店！加入會員折價券免費拿！
城中市場老牌牛肉拉麵大王,布咕布咕美食小天地愛食記部落客(2362篇食記),2022/08/16,999,城中老牌牛肉拉麵大王｜台北車站附近帶有濃厚特色的爆推美
城中市場老牌牛肉拉麵大王,Nash，神之領域愛食記部落客(3047篇食記),2022/05/26,999,城中老牌牛肉拉麵大王，大碗便宜且超鹹(菜單)
城中市場老牌牛肉拉麵大王,Takeshi Hsu(8則評論),2020/07/22,3.0,東西好吃，環境很髒
城中市場老牌牛肉拉麵大王,Emily Chen(9則評論),2019/03/06,4.5,牛肉軟嫩到不行 小菜也是多到爆湯頭沒有過多味素麵條是北方麵條 很Q彈整體95
城中市場老牌牛肉拉麵大王,瑋瑋*美食萬歲愛食記部落客(2614篇食記),2021/10/21,999,老牌牛肉拉麵大王-N訪愛店~城中市場必吃的炸醬拉麵~另附免費牛肉清湯(台北車站/西門捷運站)
城中市場老牌牛肉拉麵大王,猴屁的異想世界愛食記部落客(1157篇食記),2021/08/31,999,城中老牌牛肉拉麵大王！西門町城中市場隱藏版美！牛肉超嫩超好吃！
城中市場老牌牛肉拉麵大王,安妮塔ANiTa愛食記部落客(59篇食記),2021/01/27,5.0,隱身巷弄中的美．城中老牌牛肉拉麵大王（附菜單）
城中市場老牌牛肉拉麵大王,跟著羽諾吃喝玩樂去～愛食記部落客(1314篇食記),2020/07/21,999,隱身市場小巷內飄香30年高人氣牛肉拉麵
城中市場老牌牛肉拉麵大王,寒武紀愛食記部落客(1252篇食記),2020/04/15,999,城中老牌牛肉拉麵大王．捷運西門町站｜城中市場老字號牛肉拉麵．激推麻辣炸醬拉麵．滷菜必吃．城中市場美！
城中市場老牌牛肉拉麵大王,amy&anthony愛食記部落客(1420篇食記),2019/12/03,999,老牌牛肉拉麵大王
城中市場老牌牛肉拉麵大王,陳小沁愛食記部落客(1586篇食記),2019/09/08,999,城中老牌牛肉拉麵大王｜超強隱身巷弄中台北牛肉麵推薦!麻醬麵更優必吃!
城中市場老牌牛肉拉麵大王,12345上山打老虎銀級會員(23則評論),2018/10/08,4.0,炸醬麵好吃，滷味普通、酸辣湯太酸了，都是榨菜的味道，不太順口
城中市場老牌牛肉拉麵大王,Jerry Ho(2則評論),2018/07/28,5.0,超級正！尤其是麵，柔韌爽口，再加上獨特的湯，美味使人感動！遺憾的是，天氣太熱！所以我們外帶會飯店房間，在房間裡慢慢受。而且連續吃了天天，都不覺得夠⋯⋯
城中市場老牌牛肉拉麵大王,彭仲寧(1則評論),2018/03/25,4.5,好吃的手工麵
城中市場老牌牛肉拉麵大王,老K愛食記部落客(1479篇食記),2017/02/01,999,城中市場內的重口味好吃紅燒牛肉麵-老牌牛肉拉麵大王@捷運西門站@捷運台北車站
城中市場老牌牛肉拉麵大王,龐旭成(2則評論),2016/03/26,999,牛肉吃起來蠻硬的QQ
城中市場老牌牛肉拉麵大王,文仔愛食記部落客(888篇食記),2015/04/26,999,中正-老牌牛肉拉麵大王(城中市場)
城中市場老牌牛肉拉麵大王,高洪詣(1則評論),2015/02/07,999,推這家 之前補習常吃 味道跟價格都不錯 美中不足真的是環境衛生
城中市場老牌牛肉拉麵大王,三號珍珍的小天地愛食記部落客(386篇食記),2012/10/15,999,台大醫院站。城中市場。老牌牛肉拉麵大王。超有嚼勁口感的榨醬麵。讓你一吃就上癮！
金家飯捲 KOREA GIMBAP 김가김밥,Maruko與美食有個約會愛食記部落客(1400篇食記),2022/08/16,999,韓國人的韓國小吃 7種飯捲一次滿足
上海鄉村餐廳 濟南店,莎笠，小日子愛食記部落客(158篇食記),2022/08/16,4.5,上海鄉村｜40年老字號江浙菜品牌進軍網路，獨創上海風味白燒砂鍋魚頭、夏日清補聖品鳳梨苦瓜雞湯、國宴級江浙名菜無錫排骨，通通居家就能輕鬆受
上海鄉村餐廳 濟南店,2A食旅日記愛食記部落客(689篇食記),2022/08/10,5.0,台北高評價的江浙菜餐廳，不用出門，在家裡就吃得到，2022中秋聚餐超方便！上海鄉村
上海鄉村餐廳 濟南店,Julia Chou(6則評論),2016/08/09,999,是“蔥㸆”烏參，醃篤鮮是江浙菜的經典，應要詳細介紹濃郁的湯頭及料頭～
上海鄉村餐廳 濟南店,寒武紀愛食記部落客(1252篇食記),2022/07/17,999,【上海鄉村】夏日清補聖品宅配到家｜30鐘美味輕鬆上桌！大鮑瑤柱老火湯．雪耳燉雞美妍湯．蟹黃獅子頭～中肯‧！
上海鄉村餐廳 濟南店,PEKO愛食記部落客(1466篇食記),2022/07/14,999,不用出門，40年老字號江浙料理的養生雞湯、蟹黃獅子頭30鐘輕鬆上桌！
上海鄉村餐廳 濟南店,跟著羽諾吃喝玩樂去～愛食記部落客(1314篇食記),2022/07/11,999,40年江浙菜名店免排隊就能在家吃白燒砂鍋魚頭2022亞太年度十大菜點超人氣宅配美推薦｜上海鄉村
上海鄉村餐廳 濟南店,阿如的小格子愛食記部落客(874篇食記),2022/07/10,5.0,40年品牌的老滋味 道地江浙料理 宅在家一樣可以受的五星級美 上海鄉村
上海鄉村餐廳 濟南店,J&A的旅行愛食記部落客(1104篇食記),2022/07/09,999,上海鄉村-濃郁甘醇的干貝鮑魚雞湯用料很實在
上海鄉村餐廳 濟南店,麥仔的生活日記愛食記部落客(753篇食記),2022/07/06,999,台北美｜『上海鄉村』江浙料理～2022亞太年度十大菜點『白燒砂鍋魚頭』在家也可以輕鬆品嚐，全新線上購物平台操作方便，吃好料免出門。
上海鄉村餐廳 濟南店,黑哥桃｜BlackMOMO愛食記部落客(835篇食記),2021/12/27,999,上海鄉村｜福虎嘯春五品年菜・年年有龍蝦才澎湃｜2022年菜推薦
上海鄉村餐廳 濟南店,Nancy將的生活筆計本愛食記部落客(1451篇食記),2021/01/12,999,"台北年菜推薦-上海鄉村年菜組合,吉祥運三品年菜讓小家庭也可以有聚餐團圓的溫馨感(內含優惠折扣碼)"
上海鄉村餐廳 濟南店,希薇亞の食在玩味愛食記部落客(945篇食記),2020/06/19,999,上海鄉村餐廳(濟南店)飄香道地江浙菜味。外送外帶便當全面免運‎
