title,date,tel,address,star,link,appointed_store,unknown_store
金雞園,2022-08-23 01:25:37,0223680698,臺北市中正區羅斯福路三段316巷8弄3之1號,3.7,https://ifoodie.tw/restaurant/559d7cebc03a103ee86c7f14-%E9%87%91%E9%9B%9E%E5%9C%92,0,0
陳記燒臘,2022-08-23 01:25:41,0223568283,臺北市中正區濟南路二段62巷3號,4.3,https://ifoodie.tw/restaurant/5caf4da72756dd4c1c074af9-%E9%99%B3%E8%A8%98%E7%87%92%E8%87%98,0,0
93番茄牛肉麵,2022-08-23 01:25:46,0223910367,臺北市中正區青島東路3之2號,4.3,https://ifoodie.tw/restaurant/59ff52d22756dd6f04e9d377-93%E7%95%AA%E8%8C%84%E7%89%9B%E8%82%89%E9%BA%B5,0,0
青島排骨便當,2022-08-23 01:25:49,0223577649,臺北市中正區青島東路3號之3,4.0,https://ifoodie.tw/restaurant/5676ee7f2756dd3d5552acd3-%E9%9D%92%E5%B3%B6%E6%8E%92%E9%AA%A8%E4%BE%BF%E7%95%B6,0,0
巧之味手工水餃,2022-08-23 01:25:53,0223214693,臺北市中正區濟南路二段6號,4.5,https://ifoodie.tw/restaurant/559d1509c03a103ee86c3b87-%E5%B7%A7%E4%B9%8B%E5%91%B3%E6%89%8B%E5%B7%A5%E6%B0%B4%E9%A4%83,0,0
華山-合掌村,2022-08-23 01:25:57,0976181829,臺北市中正區忠孝東路一段108號1樓,4.5,https://ifoodie.tw/restaurant/59bac4a32756dd5b884cfc1d-%E8%8F%AF%E5%B1%B1-%E5%90%88%E6%8E%8C%E6%9D%91,0,0
初面,2022-08-23 01:25:59,0223706706,臺北市中正區信陽街30號,4.6,https://ifoodie.tw/restaurant/5f4f99f9226139528e230e55-%E5%88%9D%E9%9D%A2,0,0
晉江茶堂,2022-08-23 01:26:03,0283691785,臺北市中正區晉江街1號,4.1,https://ifoodie.tw/restaurant/559ddf3dc03a103ee86cb80f-%E6%99%89%E6%B1%9F%E8%8C%B6%E5%A0%82,0,0
首爾之家,2022-08-23 01:26:07,0223681900,臺北市中正區羅斯福路三段244巷10弄14號,3.9,https://ifoodie.tw/restaurant/562926fd2756dd74707fbed7-%E9%A6%96%E7%88%BE%E4%B9%8B%E5%AE%B6,0,0
小隱茶庵,2022-08-23 01:26:10,0223435859,臺北市中正區杭州南路一段143巷12之1號,4.3,https://ifoodie.tw/restaurant/5e63c2298c906d6e5a562b2f-%E5%B0%8F%E9%9A%B1%E8%8C%B6%E5%BA%B5,0,0
隱家拉麵 公館店,2022-08-23 01:26:14,0223684555,臺北市中正區羅斯福路四段52巷1之1號,4.3,https://ifoodie.tw/restaurant/62a34a6c7cc7fc39581330d2-%E9%9A%B1%E5%AE%B6%E6%8B%89%E9%BA%B5-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
uPoke 夏威夷生魚飯 水源門市,2022-08-23 01:26:17,0223688756,臺北市中正區思源街16號,4.8,https://ifoodie.tw/restaurant/62256c5fa627280f927b8740-uPoke-%E5%A4%8F%E5%A8%81%E5%A4%B7%E7%94%9F%E9%AD%9A%E9%A3%AF-%E6%B0%B4%E6%BA%90%E9%96%80%E5%B8%82,0,0
劉媽媽飯糰,2022-08-23 01:26:21,0233936915,臺北市中正區杭州南路二段88號,4.3,https://ifoodie.tw/restaurant/559d35c3c03a103ee86c50d6-%E5%8A%89%E5%AA%BD%E5%AA%BD%E9%A3%AF%E7%B3%B0,0,0
瓦崎燒烤火鍋 公館店,2022-08-23 01:26:25,0223690696,臺北市中正區羅斯福路四段24巷5號,4.0,https://ifoodie.tw/restaurant/559d04e1c03a103ee86c3419-%E7%93%A6%E5%B4%8E%E7%87%92%E7%83%A4%E7%81%AB%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
