store_name,create_time,phone_number,address,total_score,business_hour,url,is_appointed_store,is_unknown_store
Chirle Brown 查理布朗烘焙 微風北車店,2022-08-24 08:07:02,0223894682,臺北市中正區北平西路3號,3.2,"3:10002200,4:10002200,5:10002200,6:10002200,7:10002200,1:10002200,2:10002200",https://ifoodie.tw/restaurant/6304d6197cc7fc49bce00181-Chirle-Brown-%E6%9F%A5%E7%90%86%E5%B8%83%E6%9C%97%E7%83%98%E7%84%99-,0,0
雹仔豆花 鹽滷豆花,2022-08-24 08:07:08,0900771131,臺北市中正區臨沂街27巷9之4號,4.3,"3:11302100,4:11302100,5:11302100,6:11302100,7:11302100,1:11302100,2:11302100",https://ifoodie.tw/restaurant/61504260cd9957072b538363-%E9%9B%B9%E4%BB%94%E8%B1%86%E8%8A%B1-%E9%B9%BD%E6%BB%B7%E8%B1%86%E8%8A%B1,0,0
BAC Cake & Sweets,2022-08-24 08:07:24,0223881420,臺北市中正區忠孝西路一段38號,4.0,"3:11002100,4:11002100,5:11002100,6:11002100,7:11002100,1:11002100,2:11002100",https://ifoodie.tw/restaurant/559d3c83c03a103ee86c5505-BAC-Cake-%26-Sweets,0,0
Coppii Lumii living coffee 冉冉生活(城中),2022-08-24 08:07:39,0223818613,臺北市中正區永綏街7號,4.1,"3:09001800,4:09001800,5:09001800,6:09001800,7:09001800,1:09001800,2:09001800",https://ifoodie.tw/restaurant/61933a7c873d790429c1f093-Coppii-Lumii-living-,0,0
北棲 邸家,2022-08-24 08:07:48,0233433587,臺北市中正區忠孝東路二段40號,4.6,"3:11302000,4:11302100,5:11302100,6:11302100,7:11302100,1:11302000,2:11302000",https://ifoodie.tw/restaurant/613a3115cd99574a7ac1b7a5-%E5%8C%97%E6%A3%B2-%E9%82%B8%E5%AE%B6,0,0
金雞園,2022-08-24 08:07:54,0223680698,臺北市中正區羅斯福路三段316巷8弄3之1號,3.7,"3:10002200,4:10002200,5:10002200,6:10002200,7:10002200,1:10002200,2:10002200",https://ifoodie.tw/restaurant/559d7cebc03a103ee86c7f14-%E9%87%91%E9%9B%9E%E5%9C%92,0,0
陳記燒臘,2022-08-24 08:08:02,0223568283,臺北市中正區濟南路二段62巷3號,4.3,"3:10301500,3:16002030,4:10301500,4:16002030,5:10301500,5:16002030,6:10301500,6:16002030,1:10301500,1:16002030,2:10301500,2:16002030",https://ifoodie.tw/restaurant/5caf4da72756dd4c1c074af9-%E9%99%B3%E8%A8%98%E7%87%92%E8%87%98,0,0
93番茄牛肉麵,2022-08-24 08:08:09,0223910367,臺北市中正區青島東路3之2號,4.3,"3:11301430,3:17102045,4:11301430,4:17102045,5:11301430,5:17102045,6:11301430,1:11301430,1:17102045,2:11301430,2:17102045",https://ifoodie.tw/restaurant/59ff52d22756dd6f04e9d377-93%E7%95%AA%E8%8C%84%E7%89%9B%E8%82%89%E9%BA%B5,0,0
青島排骨便當,2022-08-24 08:08:16,0223577649,臺北市中正區青島東路3號之3,4.0,"3:11001430,3:17002030,4:11001430,4:17002030,5:11001430,5:17002030,6:11001400,1:11001430,1:17002030,2:11001430,2:17002030",https://ifoodie.tw/restaurant/5676ee7f2756dd3d5552acd3-%E9%9D%92%E5%B3%B6%E6%8E%92%E9%AA%A8%E4%BE%BF%E7%95%B6,0,0
巧之味手工水餃,2022-08-24 08:08:23,0223214693,臺北市中正區濟南路二段6號,4.5,"3:11001900,4:11001900,5:11001900,6:11001900,1:11001900,2:11001900",https://ifoodie.tw/restaurant/559d1509c03a103ee86c3b87-%E5%B7%A7%E4%B9%8B%E5%91%B3%E6%89%8B%E5%B7%A5%E6%B0%B4%E9%A4%83,0,0
華山-合掌村,2022-08-24 08:08:31,0976181829,臺北市中正區忠孝東路一段108號1樓,4.5,"3:11001400,3:17001900,4:11001400,4:17001900,5:11001400,5:17001900,6:11001400,6:17001900,7:11001400,2:11001400,2:17001900",https://ifoodie.tw/restaurant/59bac4a32756dd5b884cfc1d-%E8%8F%AF%E5%B1%B1-%E5%90%88%E6%8E%8C%E6%9D%91,0,0
初面,2022-08-24 08:08:39,0223706706,臺北市中正區信陽街30號,4.6,"3:11002100,4:11002100,5:11002100,6:11002100,7:11002100,1:11002100,2:11002100",https://ifoodie.tw/restaurant/5f4f99f9226139528e230e55-%E5%88%9D%E9%9D%A2,0,0
晉江茶堂,2022-08-24 08:08:45,0283691785,臺北市中正區晉江街1號,4.1,"3:11001430,3:16302100,4:11001430,4:16302100,5:11001430,5:16302100,6:11001430,6:16302100,7:11001430,7:16302100,1:11001430,1:16302100,2:11001430,2:16302100",https://ifoodie.tw/restaurant/559ddf3dc03a103ee86cb80f-%E6%99%89%E6%B1%9F%E8%8C%B6%E5%A0%82,0,0
首爾之家,2022-08-24 08:08:52,0223681900,臺北市中正區羅斯福路三段244巷10弄14號,3.9,"3:17002130,4:17002130,5:17002130,6:11001430,6:17002130,7:11001430,7:17002130,1:17002130,2:17002130",https://ifoodie.tw/restaurant/562926fd2756dd74707fbed7-%E9%A6%96%E7%88%BE%E4%B9%8B%E5%AE%B6,0,0
小隱茶庵,2022-08-24 08:08:59,0223435859,臺北市中正區杭州南路一段143巷12之1號,4.3,"3:11001900,4:11001900,5:11001900,6:11001900,7:11001900,1:11001900,2:11001900",https://ifoodie.tw/restaurant/5e63c2298c906d6e5a562b2f-%E5%B0%8F%E9%9A%B1%E8%8C%B6%E5%BA%B5,0,0
