store_info_id,create_time,score,content
1,2022/08/28,3.5,豬肝榮仔 南機場直營店，清爽豬肝湯夏天也會喜歡的湯品。 @ 哈比Ju
2,2022/08/27,5.0,很適合讀書休息的獨立書店
2,2018/08/11,999,青鳥書店|中正區。台北獨立書店咖啡館x不限時有插座（忠孝新生站／華山文創園區）
2,2017/04/20,4.0,【台北華山文創園區|咖啡廳】在書香中與乾燥花下品一杯咖啡✡青鳥Bleu&Book
2,2017/03/11,999,青鳥Bleu&Book，書、咖啡、乾燥花，隱身在華山文化園區裡的書店咖啡館「青鳥Bleu&Book」
2,2017/02/25,999,[忠孝新生美]青鳥Bleu&Book-在玻璃屋內的書店、也是間咖啡廳！充滿乾燥花，好美！(附完整菜單MENU)華山美/華山咖啡廳/台北不限時咖啡廳
2,2017/02/17,999,中山青鳥Bleu&Book充滿乾燥花的美麗書店‧咖啡廳‧靜謐的小空間
2,2016/11/29,999,✿青鳥Bleu&Book✿在書店喝咖啡!華山藝文特區二樓小桃花源~美麗靜謐又自由自在的空間!!
2,2016/11/22,999,書香伴隨著咖啡香的獨立書店~青鳥Bleu&Book
2,2016/11/17,999,青鳥Bleu&Book，獨立書店裡的咖啡館，這一次，尋找的不是咖啡甜點，而是人生的青鳥。台北華山
2,2016/10/12,999,全台北市最有氣質的書店│青鳥的白天與黑夜
3,2022/08/27,999,豆味行甜不辣 豆花，台北好吃甜不辣推薦
3,2022/05/25,999,被豆花耽誤的甜不辣老店，當地人就愛這一味！
3,2019/10/16,3.5,📍捷運中正紀念堂站———————#米粒食台北——————#銅板美食#甜不辣.今天天氣好適合來碗甜不辣🥺🥺-停好車後，聽到旁邊一群散步的阿姨指著豆味行說「我跟你搜！這家甜不辣超級給他好吃。」心想有這麼浮誇嗎？後來上網爬文才知道這是「賽門甜不辣」的徒弟出來開的啦～怪不得覺得口味有點像😂😂😂-🔸甜不辣💲60配料有：黑輪、甜不辣、油豆腐、菜頭、貢丸、炸餛飩。完食後可以裝免費的湯來喝噢❤️-☎️02235-8939🈺️週一-週六:5-2:00🈲️星期日🏠台北市南昌路一段64號🚇捷運中正紀念堂站2號出口步行約4鐘
3,2019/07/09,4.5,甜不辣還不錯
3,2022/04/17,999,豆味行，甜不辣、豆花冷熱甜湯，中正紀念堂站美(姊姊)
3,2021/12/21,999,豆味行：賽門甜不辣、阿明豆花、九份芋圓｜臺北小吃店 甜點店 捷運中正紀念堂站
3,2020/11/09,4.0,只賣甜不辣跟豆花選用九份在地手工芋圓 googlemap輕鬆破千則評論豆味行
3,2020/08/21,4.0,豆味行 - 中正紀念堂周邊，在地飄香二十多年老店，主打甜不辣與咕溜順口的豆花甜湯
3,2020/04/16,999,台北捷運中正紀念堂站。豆味行~甜不辣與甜點豆花
3,2020/02/26,999,豆味行~台北推薦好吃甜不辣豆花紅豆湯
3,2019/03/26,4.0,第一次來吃，好好吃，豆花也好吃
3,2019/03/26,999,台北小吃:豆味行甜不辣、白滑豆花Q彈好吃!多人推薦的老店美/中正紀念堂
3,2019/03/09,999,個人覺的這家比賽門高出一崁
3,2019/03/08,999,豆味行在地飄香數十年的甜不辣、豆花，中正紀念堂美小吃推薦
3,2018/06/13,999,豆味行-網路不少人推薦的美小吃店
3,2018/06/06,999,豆味行小有名氣的台式下午茶!甜不辣、綠豆湯、豆花等小吃任你選!【捷運中正紀念堂】
3,2018/05/01,999,台北中正區南昌街．豆味行甜不辣．薏仁綠豆湯清涼又消暑．南門市場金峰魯肉飯附近．
3,2017/04/04,4.0,理想的小點心。
3,2016/09/19,1.0,抱歉⋯
3,2014/01/22,999,吃甜不辣配豆花奇妙的組合-豆味行@捷運中正念堂站@南門市場
4,2022/08/27,999,B Line by A Train～白天就能喝的餐酒館
