store_name,create_time,phone_number,address,total_score,business_hour,url,is_appointed_store,is_unknown_store
富士山の豬,2022-08-31 00:37:18,0223832275,臺北市中正區延平南路36之1號,4.3,"3:07301330,4:07301330,5:07301330,6:08001330,7:08001330,1:07301330,2:07301330",https://ifoodie.tw/restaurant/5d76f2258c906d23a231f725-%E5%AF%8C%E5%A3%AB%E5%B1%B1%E3%81%AE%E8%B1%AC,0,0
NUKI Coffee,2022-08-31 00:37:29,0223653351,臺北市中正區金門街5之1號,4.4,"4:11301800,5:11301800,6:11301800,7:11301800,1:11301800,2:11301800",https://ifoodie.tw/restaurant/55a6511ec03a104df53c995e-NUKI-Coffee,0,0
一派胡塩 酵素臭豆腐 萬大店,2022-08-31 00:37:41,0953933507,臺北市中正區萬大路86號,4.4,"3:11302030,5:11302030,6:11302030,7:11302030,1:11302030,2:11302030",https://ifoodie.tw/restaurant/61a34962cd99576a02f1a468-%E4%B8%80%E6%B4%BE%E8%83%A1%E5%A1%A9-%E9%85%B5%E7%B4%A0%E8%87%AD%E8%B1%86%E8%85%90-%E8%90%AC%E5%A4%A7%E5%BA%97,0,0
垃圾麵,2022-08-31 00:37:51,0939285577,臺北市中正區八德路一段82巷9弄14號,4.4,"3:09001830,4:09001830,5:09001830,1:09001830,2:09001830",https://ifoodie.tw/restaurant/559d0125c03a103ee86c3278-%E5%9E%83%E5%9C%BE%E9%BA%B5,0,0
東方霸牛肉麵,2022-08-31 00:37:59,0223581684,台北市中正區杭州南路一段57號,4.3,"3:11001400,3:17002000,4:11001400,4:17002000,5:11001400,5:17002000,1:11001400,1:17002000,2:11001400,2:17002000",https://ifoodie.tw/restaurant/56a85ff42756dd13f13b4f8d-%E6%9D%B1%E6%96%B9%E9%9C%B8%E7%89%9B%E8%82%89%E9%BA%B5,0,0
Bar Link,2022-08-31 00:38:04,0233651933,臺北市中正區師大路164號,4.9,"3:20000000,4:00000200,4:20000000,5:00000200,5:20000000,6:00000200,6:20000000,7:20000000,7:00000200,1:00000200,1:20000000,2:00000200",https://ifoodie.tw/restaurant/61aa3cdd7cc7fc1a7983b3dd-Bar-Link,0,0
鶴茶樓- 鶴頂紅茶商店 北車信陽店,2022-08-31 00:38:11,0223711511,臺北市中正區信陽街18號,3.9,"3:10002000,4:10002000,5:10002000,6:11002000,7:11002000,1:10002000,2:10002000",https://ifoodie.tw/restaurant/60f97ee77cc7fc1b16705414-%E9%B6%B4%E8%8C%B6%E6%A8%93-%E9%B6%B4%E9%A0%82%E7%B4%85%E8%8C%B6%E5%95%86%E5%BA%97-%E5%8C%97%E8%BB%8A%E4%BF%A1%E9%99%BD%E5%BA%97,0,0
亞尼克菓子工房,2022-08-31 00:38:15,0223702036,臺北市中正區寶慶路32號,3.7,"3:11002130,4:11002130,5:11002200,6:11002200,7:11002130,1:11002130,2:11002130",https://ifoodie.tw/restaurant/5988ad422756dd4222bbb8c5-%E4%BA%9E%E5%B0%BC%E5%85%8B%E8%8F%93%E5%AD%90%E5%B7%A5%E6%88%BF,0,0
台北時代寓所 Hotel Resonance Taipei Tapestry Collection by Hilton,2022-08-31 00:38:21,0277521888,臺北市中正區林森南路7號,4.5,"3:00002359,4:00002359,5:00002359,6:00002359,7:00002359,1:00002359,2:00002359",https://ifoodie.tw/restaurant/61a8ca0f7cc7fc50791d6275-%E5%8F%B0%E5%8C%97%E6%99%82%E4%BB%A3%E5%AF%93%E6%89%80-Hotel-Resonan,0,0
Rich Daddy cafe & kids 富爸爸餐飲會所,2022-08-31 00:38:30,0223962518,臺北市中正區金山北路1號2樓,4.6,"3:11001330,3:14001700,3:17302000,4:11001330,4:14001700,4:17302000,5:11001330,5:14001700,5:17302000,6:11001330,6:14001700,6:17302000,7:11001330,7:14001700,7:17302000,1:11001330,1:14002000,2:11001330,2:14001700,2:17302000",https://ifoodie.tw/restaurant/5e50b22d22613905f0bff512-Rich-Daddy-cafe-%26-ki,0,0
淘客美式漢堡 北車店,2022-08-31 00:38:36,0223316198,臺北市中正區信陽街14號,4.2,"3:11002030,4:11002030,5:11002030,6:11002030,7:11002030,1:11002030,2:11002030",https://ifoodie.tw/restaurant/609e02c1baf6d350d1e9ce22-%E6%B7%98%E5%AE%A2%E7%BE%8E%E5%BC%8F%E6%BC%A2%E5%A0%A1-%E5%8C%97%E8%BB%8A%E5%BA%97,0,0
