id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
406,富士山の豬,4.3,臺北市中正區延平南路36之1號,https://ifoodie.tw/restaurant/5d76f2258c906d23a231f725-%E5%AF%8C%E5%A3%AB%E5%B1%B1%E3%81%AE%E8%B1%AC
407,NUKI Coffee,4.4,臺北市中正區金門街5之1號,https://ifoodie.tw/restaurant/55a6511ec03a104df53c995e-NUKI-Coffee
408,一派胡塩 酵素臭豆腐 萬大店,4.4,臺北市中正區萬大路86號,https://ifoodie.tw/restaurant/61a34962cd99576a02f1a468-%E4%B8%80%E6%B4%BE%E8%83%A1%E5%A1%A9-%E9%85%B5%E7%B4%A0%E8%87%AD%E8%B1%86%E8%85%90-%E8%90%AC%E5%A4%A7%E5%BA%97
409,垃圾麵,4.4,臺北市中正區八德路一段82巷9弄14號,https://ifoodie.tw/restaurant/559d0125c03a103ee86c3278-%E5%9E%83%E5%9C%BE%E9%BA%B5
410,東方霸牛肉麵,4.3,台北市中正區杭州南路一段57號,https://ifoodie.tw/restaurant/56a85ff42756dd13f13b4f8d-%E6%9D%B1%E6%96%B9%E9%9C%B8%E7%89%9B%E8%82%89%E9%BA%B5
411,Bar Link,4.9,臺北市中正區師大路164號,https://ifoodie.tw/restaurant/61aa3cdd7cc7fc1a7983b3dd-Bar-Link
412,鶴茶樓- 鶴頂紅茶商店 北車信陽店,3.9,臺北市中正區信陽街18號,https://ifoodie.tw/restaurant/60f97ee77cc7fc1b16705414-%E9%B6%B4%E8%8C%B6%E6%A8%93-%E9%B6%B4%E9%A0%82%E7%B4%85%E8%8C%B6%E5%95%86%E5%BA%97-%E5%8C%97%E8%BB%8A%E4%BF%A1%E9%99%BD%E5%BA%97
413,亞尼克菓子工房,3.7,臺北市中正區寶慶路32號,https://ifoodie.tw/restaurant/5988ad422756dd4222bbb8c5-%E4%BA%9E%E5%B0%BC%E5%85%8B%E8%8F%93%E5%AD%90%E5%B7%A5%E6%88%BF
414,台北時代寓所 Hotel Resonance Taipei Tapestry Collection by Hilton,4.5,臺北市中正區林森南路7號,https://ifoodie.tw/restaurant/61a8ca0f7cc7fc50791d6275-%E5%8F%B0%E5%8C%97%E6%99%82%E4%BB%A3%E5%AF%93%E6%89%80-Hotel-Resonan
415,Rich Daddy cafe & kids 富爸爸餐飲會所,4.6,臺北市中正區金山北路1號2樓,https://ifoodie.tw/restaurant/5e50b22d22613905f0bff512-Rich-Daddy-cafe-%26-ki
416,淘客美式漢堡 北車店,4.2,臺北市中正區信陽街14號,https://ifoodie.tw/restaurant/609e02c1baf6d350d1e9ce22-%E6%B7%98%E5%AE%A2%E7%BE%8E%E5%BC%8F%E6%BC%A2%E5%A0%A1-%E5%8C%97%E8%BB%8A%E5%BA%97
417,金子半之助,4.2,台北市中正區北平西路3號2樓,https://ifoodie.tw/restaurant/56418d33699b6e2cfea03633-%E9%87%91%E5%AD%90%E5%8D%8A%E4%B9%8B%E5%8A%A9
418,菠蘿麵包 ぼろパン BOLO PAN,4.2,臺北市中正區公園路22之3號,https://ifoodie.tw/restaurant/5be598552756dd74fbf05829-%E8%8F%A0%E8%98%BF%E9%BA%B5%E5%8C%85-%E3%81%BC%E3%82%8D%E3%83%91%E3%83%B3-BOLO-PAN
419,鈜景國產肉品專賣店,4.4,臺北市中正區臨沂街70號,https://ifoodie.tw/restaurant/559de2c7c03a103ee86cbacd-%E9%88%9C%E6%99%AF%E5%9C%8B%E7%94%A2%E8%82%89%E5%93%81%E5%B0%88%E8%B3%A3%E5%BA%97
420,北北車魯肉飯,4.3,臺北市中正區公園路20巷21號,https://ifoodie.tw/restaurant/59c675fc22613961f7e882f1-%E5%8C%97%E5%8C%97%E8%BB%8A%E9%AD%AF%E8%82%89%E9%A3%AF
