store_name,create_time,phone_number,address,total_score,business_hour,distance,latitude_longitude,url,is_appointed_store,is_unknown_store
吳記南京板鴨-原李嘉興板鴨主廚,2022-09-26 21:52:49,0223560668,臺北市中正區羅斯福路二段44號,3.9,"1:10002000,2:10002000,3:10002000,4:10002000,5:10002000,6:10002000,7:10001930",,,https://ifoodie.tw/restaurant/59f8bce72756dd05e9d6b01f-%E5%90%B3%E8%A8%98%E5%8D%97%E4%BA%AC%E6%9D%BF%E9%B4%A8-%E5%8E%9F%E6%9D%8E%E5%98%89%E8%88%88%E6%9D%BF%E9%B4%A8%E4%B8%BB%E5%BB%9A,0,0
金峰魯肉飯,2022-09-26 21:52:56,0223960808,臺北市中正區羅斯福路一段10號,3.5,"1:00000100,1:11000000,2:00000100,2:11000000,3:00000100,3:11000000,4:00000100,4:11000000,5:00000100,5:11000000,6:00000100,6:11000000,7:11000000,7:00000100",,,https://ifoodie.tw/restaurant/559d18d3c03a103ee86c3de8-%E9%87%91%E5%B3%B0%E9%AD%AF%E8%82%89%E9%A3%AF,0,0
南機場夜市 橘太郎爆漿 雞蛋糕,2022-09-26 21:53:24,0928625068,臺北市中正區中華路二段313巷20號,4.5,"1:16302330,2:16302330,3:16302330,4:16302330,5:16302330,6:16302330,7:16302330",,,https://ifoodie.tw/restaurant/632ec608baf6d316ba9bacbb-%E5%8D%97%E6%A9%9F%E5%A0%B4%E5%A4%9C%E5%B8%82-%E6%A9%98%E5%A4%AA%E9%83%8E%E7%88%86%E6%BC%BF-%E9%9B%9E%E8%9B%8B%E7%B3%95,0,0
郁坊小館,2022-09-26 21:53:36,0223311117,臺北市中正區延平南路163巷2號,4.4,"2:11001400,2:17002030,3:11001400,3:17002030,4:11001400,4:17002030,5:11001400,5:17002030,6:11001400,6:17002030,7:11001400,7:17002030",,,https://ifoodie.tw/restaurant/559ddf0fc03a103ee86cb7eb-%E9%83%81%E5%9D%8A%E5%B0%8F%E9%A4%A8,0,0
藍象廷 台北站前店,2022-09-26 21:53:42,0223110809,台北市中正區忠孝西路一段66號號B1,4.8,"1:11002130,2:11002130,3:11002130,4:11002130,5:11002200,6:11002200,7:11002130",,,https://ifoodie.tw/restaurant/626abdf5baf6d35b2fb13ec6-%E8%97%8D%E8%B1%A1%E5%BB%B7-%E5%8F%B0%E5%8C%97%E7%AB%99%E5%89%8D%E5%BA%97,0,0
陳男製菓工作室,2022-09-26 21:53:48,999,臺北市中正區南昌路一段74巷9號1樓,4.9,"1:11001840,4:11001840,5:11001840,7:11001800",,,https://ifoodie.tw/restaurant/632db4a37cc7fc29b4fa2f6c-%E9%99%B3%E7%94%B7%E8%A3%BD%E8%8F%93%E5%B7%A5%E4%BD%9C%E5%AE%A4,0,0
海享吃精緻鍋物,2022-09-26 21:53:54,0223331311,臺北市中正區中華路二段307巷8號,4.8,"1:11001400,1:17002330,2:11001400,2:17002330,3:11001400,3:17002330,4:11001400,4:17002330,5:11001400,5:17002330,6:11001400,6:17002330,7:11001400,7:17002330",,,https://ifoodie.tw/restaurant/606e53a1cd995731e299e49f-%E6%B5%B7%E4%BA%AB%E5%90%83%E7%B2%BE%E7%B7%BB%E9%8D%8B%E7%89%A9,0,0
青島豆漿店,2022-09-26 21:54:24,0223934958,臺北市中正區杭州南路一段139之3號,4.2,"1:05301130,2:05301130,3:05301130,4:05301130,5:05301130,6:05301130,",,,https://ifoodie.tw/restaurant/559d8365c03a103ee86c825d-%E9%9D%92%E5%B3%B6%E8%B1%86%E6%BC%BF%E5%BA%97,0,0
力量拉麵（公館店）,2022-09-26 21:54:33,0223689375,臺北市中正區汀州路三段160巷4之1號,4.0,"1:11301500,1:17002100,2:11301500,2:17002100,3:11301500,3:17002100,4:11301500,4:17002100,5:11301500,5:17002100,6:11301500,6:17002100,7:11301500,7:17002100",,,https://ifoodie.tw/restaurant/632d2da9873d7968616dac34-%E5%8A%9B%E9%87%8F%E6%8B%89%E9%BA%B5%EF%BC%88%E5%85%AC%E9%A4%A8%E5%BA%97%EF%BC%89,0,0
中原福州乾麵,2022-09-26 21:54:39,0223312326,臺北市中正區延平南路164號,4.3,"1:06001930,2:06001930,3:06001930,4:06001930,5:06001930,",,,https://ifoodie.tw/restaurant/559db89ac03a103ee86c9f23-%E4%B8%AD%E5%8E%9F%E7%A6%8F%E5%B7%9E%E4%B9%BE%E9%BA%B5,0,0
大三元豆漿店,2022-09-26 21:54:44,0223033089,臺北市中正區寧波西街233號,4.1,"2:06001130,3:06001130,4:06001130,5:06001130,6:06001130,7:06001130",,,https://ifoodie.tw/restaurant/559da095c03a103ee86c9259-%E5%A4%A7%E4%B8%89%E5%85%83%E8%B1%86%E6%BC%BF%E5%BA%97,0,0
肉多多火鍋 台北重慶南店,2022-09-26 21:54:50,0223613539,臺北市中正區重慶南路一段58號3樓,4.7,"1:11301530,1:17302230,2:11301530,2:17302230,3:11301530,3:17302230,4:11301530,4:17302230,5:11301530,5:17302230,6:11301530,6:17302230,7:11301530,7:17302230",,,https://ifoodie.tw/restaurant/5cd23c0e23679c4fd3429cee-%E8%82%89%E5%A4%9A%E5%A4%9A%E7%81%AB%E9%8D%8B-%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6%E5%8D%97%E5%BA%97,0,0
雹仔豆花 鹽滷豆花,2022-09-26 21:54:55,0900771131,臺北市中正區臨沂街27巷9之4號,4.4,"1:11302100,2:11302100,3:11302100,4:11302100,5:11302100,6:11302100,7:11302100",,,https://ifoodie.tw/restaurant/61504260cd9957072b538363-%E9%9B%B9%E4%BB%94%E8%B1%86%E8%8A%B1-%E9%B9%BD%E6%BB%B7%E8%B1%86%E8%8A%B1,0,0
菠蘿麵包 ぼろパン BOLO PAN,2022-09-26 21:55:00,0223313120,臺北市中正區公園路22之3號,4.2,"1:07002200,2:07002200,3:07002200,4:07002200,5:07002200,6:07002200,7:07002200",,,https://ifoodie.tw/restaurant/5be598552756dd74fbf05829-%E8%8F%A0%E8%98%BF%E9%BA%B5%E5%8C%85-%E3%81%BC%E3%82%8D%E3%83%91%E3%83%B3-BOLO-PAN,0,0
CAFE de GEAR,2022-09-26 21:55:05,0223563389,台北市中正區寧波東街3-3號,4.1,"1:11001930,2:11001930,3:11001930,4:11001930,5:11001930,6:11001930,7:11001930",,,https://ifoodie.tw/restaurant/56e42343699b6e23bfe53e3c-CAFE-de-GEAR,0,0
