address,distance,latitude_longitude
臺北市中正區泉州街35號,"正門:1805公尺,後門:1861公尺,側門:1908公尺","25.0293296,121.5143573"
臺北市中正區新生南路一段140巷5號,"正門:927公尺,後門:1073公尺,側門:958公尺","25.0361956,121.5322784"
臺北市中正區羅斯福路四段78巷1弄15號1樓,"正門:3194公尺,後門:3340公尺,側門:3270公尺","25.0142683,121.5340432"
臺北市中正區南昌路二段188號,"正門:1973公尺,後門:2096公尺,側門:2069公尺","25.0242787,121.5238731"
臺北市中正區中華路二段303巷1號,"正門:2515公尺,後門:2526公尺,側門:2608公尺","25.029361,121.5048981"
臺北市中正區寧波西街87之1號,"正門:1653公尺,後門:1716公尺,側門:1757公尺","25.0300076,121.5158442"
臺北市中正區羅斯福路四段50之1號1樓,"正門:3115公尺,後門:3261公尺,側門:3191公尺","25.0149029,121.53364"
臺北市中正區中華路二段307巷,"正門:2441公尺,後門:2457公尺,側門:2536公尺","25.0292114,121.5059019"
臺北市中正區中華路二段311巷21號前,"正門:2422公尺,後門:2441公尺,側門:2517公尺","25.0288868,121.5063997"
臺北市中正區杭州南路一段9號,"正門:210公尺,後門:206公尺,側門:107公尺","25.0434601,121.5268378"
臺北市中正區南陽街38巷2號,"正門:1022公尺,後門:921公尺,側門:1054公尺","25.0441217,121.5157802"
臺北市中正區中華路二段307巷2號騎樓,"正門:2512公尺,後門:2528公尺,側門:2607公尺","25.0287037,121.5054415"
臺北市中正區重慶南路一段58號3樓,"正門:1286公尺,後門:1192公尺,側門:1324公尺","25.0439217,121.5130574"
臺北市中正區北平西路3號,"正門:1137公尺,後門:1004公尺,側門:1136公尺","25.0473199,121.5160463"
臺北市中正區濟南路二段69號,"正門:699公尺,後門:813公尺,側門:679公尺","25.0404194,121.5323444"
臺北市中正區羅斯福路四段92號,"正門:3300公尺,後門:3447公尺,側門:3374公尺","25.0135188,121.534971"
臺北市中正區重慶南路一段48號,"正門:1293公尺,後門:1193公尺,側門:1326公尺","25.044468,121.513113"
臺北市中正區北平西路3號微風臺北車站2樓西側2樓,"正門:1074公尺,後門:939公尺,側門:1070公尺","25.0473799,121.5168273"
臺北市中正區忠孝西路一段,"正門:1138公尺,後門:1011公尺,側門:1144公尺","25.0467151,121.5156511"
臺北市中正區忠孝東路一段12號,"正門:436公尺,後門:293公尺,側門:423公尺","25.0445802,121.5224401"
臺北市中正區汀州路一段159號,"正門:2225公尺,後門:2270公尺,側門:2326公尺","25.0274114,121.510456"
臺北市中正區羅斯福路四段92號水源市場1樓26號,"正門:3280公尺,後門:3427公尺,側門:3354公尺","25.01371,121.534983"
臺北市中正區中華路二段307巷,"正門:2441公尺,後門:2457公尺,側門:2536公尺","25.0292114,121.5059019"
臺北市中正區羅斯福路四段92號,"正門:3300公尺,後門:3447公尺,側門:3374公尺","25.0135188,121.534971"
臺北市中正區泉州街32之3號,"正門:2153公尺,後門:2219公尺,側門:2256公尺","25.0259953,121.5135301"
臺北市中正區中華路二段307巷8號,"正門:2493公尺,後門:2509公尺,側門:2587公尺","25.0288151,121.5055885"
臺北市中正區和平西路二段85之1號,"正門:2158公尺,後門:2162公尺,側門:2249公尺","25.0320454,121.5072088"
臺北市中正區汀州路三段75號,"正門:2700公尺,後門:2838公尺,側門:2786公尺","25.0178194,121.5285563"
臺北市中正區汀州路三段166號,"正門:3309公尺,後門:3455公尺,側門:3384公尺","25.0133273,121.5345372"
