id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
1,建中黑砂糖刨冰,4.1,臺北市中正區泉州街35號,https://ifoodie.tw/restaurant/559d84f3c03a103ee86c831e-%E5%BB%BA%E4%B8%AD%E9%BB%91%E7%A0%82%E7%B3%96%E5%88%A8%E5%86%B0
2,微笑老蕭拉麵 (要等拉麵),4.4,臺北市中正區新生南路一段140巷5號,https://ifoodie.tw/restaurant/59b42da92756dd0ea0b2c3bb-%E5%BE%AE%E7%AC%91%E8%80%81%E8%95%AD%E6%8B%89%E9%BA%B5-(%E8%A6%81%E7%AD%89%E6%8B%89%E9%BA%B5)
3,韓天閣,4.2,臺北市中正區羅斯福路四段78巷1弄15號1樓,https://ifoodie.tw/restaurant/55a5e717c03a102ec141562f-%E9%9F%93%E5%A4%A9%E9%96%A3
4,五草車中華食館 南昌店,4.0,臺北市中正區南昌路二段188號,https://ifoodie.tw/restaurant/56561e6d2756dd1d7a1b03e7-%E4%BA%94%E8%8D%89%E8%BB%8A%E4%B8%AD%E8%8F%AF%E9%A3%9F%E9%A4%A8-%E5%8D%97%E6%98%8C%E5%BA%97
5,OnlyToast偷吃吐司專賣店,4.2,臺北市中正區中華路二段303巷1號,https://ifoodie.tw/restaurant/5d2d8ecbd6895d31b902cbe6-OnlyToast%E5%81%B7%E5%90%83%E5%90%90%E5%8F%B8%E5%B0%88%E8%B3%A3%E5%BA%97
6,福井麵疙瘩,4.3,臺北市中正區寧波西街87之1號,https://ifoodie.tw/restaurant/559d31fbc03a103ee86c4e8b-%E7%A6%8F%E4%BA%95%E9%BA%B5%E7%96%99%E7%98%A9
7,JBA 職人專研 冷凍舒肥專賣,4.8,臺北市中正區羅斯福路四段50之1號1樓,https://ifoodie.tw/restaurant/6214a3d7cd9957690d2aee0b-JBA-%E8%81%B7%E4%BA%BA%E5%B0%88%E7%A0%94-%E5%86%B7%E5%87%8D%E8%88%92%E8%82%A5%E5%B0%88%E8%B3%A3
8,曉迪筒仔米糕,4.2,臺北市中正區中華路二段307巷,https://ifoodie.tw/restaurant/58f3b20b2756dd059715f6ec-%E6%9B%89%E8%BF%AA%E7%AD%92%E4%BB%94%E7%B1%B3%E7%B3%95
9,泗元碳烤,3.5,臺北市中正區中華路二段311巷21號前,https://ifoodie.tw/restaurant/574d921f2756dd2cd0c18e25-%E6%B3%97%E5%85%83%E7%A2%B3%E7%83%A4
10,古北饕Goodbeitao_旗艦店,4.9,臺北市中正區杭州南路一段9號,https://ifoodie.tw/restaurant/633a4cbb658aba05578ff837-%E5%8F%A4%E5%8C%97%E9%A5%95Goodbeitao_%E6%97%97%E8%89%A6%E5%BA%97
11,Burger Yellow,4.5,臺北市中正區南陽街38巷2號,https://ifoodie.tw/restaurant/617d51f8781cc0564f5010d9-Burger-Yellow
12,南機場Q麻吉古早味麻糬,4.1,臺北市中正區中華路二段307巷2號騎樓,https://ifoodie.tw/restaurant/622960d8cd99573b4470f69d-%E5%8D%97%E6%A9%9F%E5%A0%B4Q%E9%BA%BB%E5%90%89%E5%8F%A4%E6%97%A9%E5%91%B3%E9%BA%BB%E7%B3%AC
13,肉多多火鍋 台北重慶南店,4.7,臺北市中正區重慶南路一段58號3樓,https://ifoodie.tw/restaurant/5cd23c0e23679c4fd3429cee-%E8%82%89%E5%A4%9A%E5%A4%9A%E7%81%AB%E9%8D%8B-%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6%E5%8D%97%E5%BA%97
